#,Date & Name of Solemnity (S) or Feast (f),S/f,First Reading,Responsorial Psalm,Second Reading,Gospel,"Years It Falls
 on a Sunday"
524,Feb. 2: The Presentation of the Lord,f,Mal 3:1-4,"Ps 24:7, 8 ,9, 10",Heb 2:14-18,Luke 2:22-40 or 2:22-32,"2003, 2014, 2020, 2025,
 2031, 2042, 2048"
543,"March 19: St. Joseph, Spouse of the Blessed Virgin Mary
 (transferred to Monday 3/20 if 3/19 is a Sunday;
 exception for 2008: transferred to Saturday, 3/15/08)",S,"2 Sam 7:4-5a, 12-14a, 16","Ps 89:2-3, 4-5, 27, 29","Rom 4:13, 16-18, 22","Matt 1:16, 18-21, 24a 
 or Luke 2:41-51a","2000, 2006, 2017, 2023,
 2028, 2034, 2045
 [2008]"
545,"March 25: The Annunciation of the Lord
 (tranferred if 3/25 is a Sunday, or if it falls during
 Holy Week or Easter Week - see the table below)",S,Isa 7:10-14; 8:10 (diff),"Ps 40:7-8, 8-9, 10, 11",Heb 10:4-10,Luke 1:26-38,"2001, 2007, 2012, 2018,
 2029, 2035, 2040, 2046"
586,June [23]/24: The Nativity of St. John the Baptist: Vigil,S,Jer 1:4-10,"Ps 71:1-2, 3-4, 5-6, 15, 17",1 Pet 1:8-12,Luke 1:5-17,x
587,"June 24: The Nativity of St. John the Baptist: Day
 (exceptions for 2022, 2033, and 2044: transferred to Thursday 6/23, 
 since Friday 6/24 is the Solemnity of the Sacred Heart of Jesus)",S,Isa 49:1-6,"Ps 139:1-3, 13-14, 14-15",Acts 13:22-26,"Luke 1:57-66, 80","2001, 2007, 2012, 2018,
 2029, 2035, 2040, 2046"
590,"June [28]/29: SS. Peter and Paul, Apostles: Vigil",S,Acts 3:1-10,"Ps 19:2-3, 4-5",Gal 1:11-20,John 21:15-19,x
591,"June 29: SS. Peter and Paul, Apostles: Day",S,Acts 12:1-11,"Ps 34:2-3, 4-5, 6-7, 8-9","2 Tim 4:6-8, 17-18",Matt 16:13-19,"2003, 2008, 2014, 2025,
 2031, 2036, 2042"
614,Aug 6: The Transfiguration of the Lord,f,"Dan 7:9-10, 13-14","Ps 97:1-2, 5-6, 9",2 Peter 1:16-19,"A: Matt 17:1-9 
 B: Mark 9:2-10 
 C: Luke 9:28b-36","2000, 2006, 2017, 2023,
 2028, 2034, 2045"
621,Aug. [14]/15: The Assumption of the Blessed Virgin Mary: Vigil,S,"1 Chr 15:3-4, 15-16; 16:1-2","Ps 132:6-7, 9-10, 13-14",1 Cor 15:54b-57 (diff),Luke 11:27-28,x
622,Aug. 15: The Assumption of the Blessed Virgin Mary: Day,S,Rev 11:19a; 12:1-6a; 10ab,"Ps 45:10, 11, 12, 16",1 Cor 15:20-27,Luke 1:39-56,"1999, 2004, 2010, 2021,
 2027, 2038, 2049"
638,Sept. 14: The Exaltation of the Cross,f,Num 21:4b-9,"Ps 78:1-2, 34-35, 36-37, 38",Phil 2:6-11,John 3:13-17,"2003, 2008, 2014, 2025,
 2031, 2036, 2042"
667,Nov 1: All Saints,S,"Rev 7:2-4, 9-14","Ps 24:1-2, 3-4, 5-6",1 John 3:1-3,Matt 5:1-12a,"1998, 2009, 2015, 2020,
 2026, 2037, 2043, 2048"
668,"Nov 2: The Commemoration of All the Faithful Departed (All Souls) - 
 [new on the list of feasts with special readings; previously
 any readings for Masses for the Dead were recommended]",S,Wis 3:1-9 or Wis 4:7-15or Isa 25:6-9,"Ps 23:1-3a, 3b-4, 5, 6 or Ps 25:6+7b, 17-18, 20-21or Ps 27:1, 4, 7+8b+9a, 13-14","Rom 5:5-11
 or Rom 5:17-21
 or Rom 6:3-9
 or Rom 8:14-23
 or Rom 8:31b-35, 37-39
 or Rom 14:7-9, 10c-12
 or 1 Cor 15:20-28
 or 1 Cor 15:51-57
 or 2 Cor 4:14-5:1
 or 2 Cor 5:1, 6-10
 or Phil 3:20-21
 or 1 Thess 4:13-18
 or 2 Tim 2:8-13","Matt 5:1-12a
 or Matt 11:25-30
 or Matt 25:31-46
 or Luke 7:11-17
 or Luke 23:44-46, 50, 52-53; 24:1-6a
 or Luke 24:13-16, 28-35
 or John 5:24-29
 or John 6:37-40
 or John 6:51-59
 or John 11:17-27
 or John 11:32-45
 or John 14:1-6","2003, 2008, 2014, 2025,
 2031, 2036, 2042"
671,"Nov 9: The Dedication of the Lateran Basilica 
 [new on the list of feasts with special readings]",f,"Ezek 47:1-2, 8-9, 12","Ps 46:2-3, 5-6, 8-9","1 Cor 3:9c-11, 16-17",John 2:13-22,"2003, 2008, 2014, 2025,
 2031, 2036, 2042"
689,"Dec. 8: The Immaculate Conception of the Blessed Virgin Mary 
 (transferred to Monday 12/9 if 12/8 is a Sunday of Advent )",S,"Gen 3:9-15, 20","Ps 98:1, 2-3, 3-4","Eph 1:3-6, 11-12",Luke 1:26-38,"2002, 2013, 2019, 2024,
 2030, 2041, 2047"
